apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py +155,Series Updated Successfully,Serie erfolgreich aktualisiert
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py +187,Please set Naming Series for {0} via Setup > Settings > Naming Series,Bitte die Serienbezeichnung für {0} über Setup > Einstellungen > Serien benamen eingeben
apps/erpnext/erpnext/utilities/transaction_base.py +121,Row #{0}: Rate must be same as {1}: {2} ({3} / {4}),Zeile #{0}: Ansatz muss der selber sein wie auf de {1}: {2} ({3} / {4})
DocType: Naming Series,Series List for this Transaction,Serienliste für diese Transaktion
DocType: Naming Series,Change the starting / current sequence number of an existing series.,Startnummer/aktuelle laufende Nummer einer bestehenden Serie ändern.
DocType: Naming Series,Update Series,Serie aktualisieren
DocType: Naming Series,Update Series Number,Seriennummer aktualisieren
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.py +54,{0} already allocated for Employee {1} for period {2} to {3},{0} bereits an Mitarbeiter {1} zugeteilt für die Periode {2} bis {3}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py +146,"Serialized Item {0} cannot be updated using Stock Reconciliation",Serienartikel {0} kann nicht über einen Lagerabgleich aktualisiert werden
apps/erpnext/erpnext/templates/includes/footer/footer_extension.html +7,Get Updates,Newsletter abonnieren
apps/erpnext/erpnext/templates/form_grid/stock_entry_grid.html +21,Not in Stock, nicht vorrätig
DocType: Journal Entry Account,Party,Lieferant
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.js +736,Please enter Item Code.,Bitte die Artikelnummer eingeben
DocType: Account,Company,Firma
DocType: Account,Accounts Manager,Kontenmanager
DocType: Account,Account number,Kontonummer
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +47,Furniture and Fixture,Möbel und Anbauteile
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +44,Computers,Rechner
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +53,Plant and Machinery,Anlagen und Maschinen
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +117,Print and Stationary,Druck- und Schreibwaren
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +159,Current Liabilities,Kurzfristige Verbindlichkeiten
DocType: Purchase Invoice,Supplier Invoice No,"Referenz- / Rechnungs- / Belegnummer"
DocType: Purchase Invoice,Additional Discount Percentage,Zusätzlicher Rabatt in Prozent
DocType: Purchase Invoice,Currency and Price List,Währungs- und Preisliste
DocType: Purchase Invoice,Mobile No,Mobilfunknummer
DocType: Purchase Invoice,Title,Titel
apps/erpnext/erpnext/selling/doctype/quotation/quotation.js +581,Make Sales Order,Auftragsbestätigung erstellen
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.js +853,Sales Return,Umsatzrendite
apps/erpnext/erpnext/config/crm.py +12,Database of potential customers.,Datenbank von potentiellen Kunden
apps/erpnext/erpnext/config/crm.py +17,Potential opportunities for selling.,Mögliche Verkaufschancen für den Vertrieb
apps/erpnext/erpnext/hr/doctype/upload_attendance/upload_attendance.py +88,Please setup numbering series for Attendance via Setup > Numbering Series,Bitte Seriennummerierung für Anwesenheiten über Setup > Seriennummerierung einstellen
DocType: Buying Settings,Settings for Buying Module,Einstellungen für Einkaufsmodul
DocType: Serial No,Warranty Expiry Date,Garantieablaufdatum
DocType: Serial No,Creation Date,Erstellungsdatum
DocType: Serial No,Creation Time,Zeitpunkt der Fertigung
DocType: Opportunity,Opportunity From,Verkaufschance von
DocType: Opportunity,Opportunity Type,Verkaufschancen-Typ
DocType: Opportunity,Title,Titel
DocType: Opportunity,Opportunity Date,Datum der Verkauschance
DocType: Opportunity,Opportunity,Verkaufschance
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.js +27,Send Now,Jetzt senden
DocType: Sales Invoice Item,Stock Details,Lagerinformationen
DocType: POS Profile,Cash/Bank Account,Kassen-/Bankkonto
apps/erpnext/erpnext/accounts/doctype/mode_of_payment/mode_of_payment.py +28,Account does not match with Company,Konto passt nicht zu Unternehmen
DocType: Supplier,Communications,Kommunikationswesen
DocType: Supplier,Stock Manager,Leitung Lager
DocType: Global Defaults,Disable Rounded Total,Gerundete Gesamtsumme deaktivieren
DocType: Lead,Call,Anruf
DocType: Lead,Opportunity,Verkaufschance
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +544,Accounts table cannot be blank.,Bitte Buchungskonten eingeben.
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +167,Against Journal Entry {0} does not have any unmatched {1} entry,"""Zu Buchungsjournal"" {0} hat nur abgeglichene {1} Buchungen"
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +158,Journal Entry {0} does not have account {1} or already matched against other voucher,Buchungsjournal {0} gehört nicht zu Konto {1} oder ist bereits mit einem anderen Beleg abgeglichen
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +346,Row {0}: Exchange Rate is mandatory,Row {0}: Wechselkurs ist obligatorisch
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +79,Row {0}: Party Type and Party is only applicable against Receivable / Payable account,Zeile {0}: Gruppen-Typ und Gruppe sind nur auf Forderungen-/Verbindlichkeiten-Konto anzuwenden
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +48,{0} is required,{0} sind erforderlich
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +41,Party Type and Party is required for Receivable / Payable account {0},"""Gruppen-Typ"" und die ""Gruppe"" werden für das Konto ""Forderungen / Verbindlichkeiten"" {0} gebraucht"
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +56,Cost Center is required for 'Profit and Loss' account {0},"Kostenstelle wird für ""Gewinn- und Verlust""-Konto {0} benötigt"
DocType: Maintenance Visit Purpose,Work Done,Zweck / Erledigte Arbeiten
DocType: Opportunity Item,Opportunity Item,Verkaufschance-Artikel
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py +586,Delivery Note {0} is not submitted,Lieferschein {0} wurde nicht übertragen
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py +66,No Remarks,Keine Bemerkungen
apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.py +318,Expected Delivery Date is lesser than Planned Start Date.,Voraussichtlicher Liefertermin liegt vor dem geplanten Starttermin.
DocType: Journal Entry,Journal Entry,Buchungsjournal
DocType: Journal Entry,Reference Number,"Referenz- / Rechnungs- / Belegnummer"
DocType: Journal Entry,Reference Date,"Referenz- / Rechnungs- / Belegdatum"
DocType: Journal Entry,User Remark,Bemerkung
DocType: Journal Entry,Title,Titel
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py +508,Operations cannot be left blank.,"""Arbeitsvorbereitung"" kann nicht leer sein."
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js +51,Customer > Customer Group > Territory,Kunde > Kundengruppe > Region
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js +48,Item Code > Item Group > Brand,Artikelnummer > Artikelgruppe > Marke
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js +54,Supplier > Supplier Type,Lieferant > Lieferantentyp
apps/erpnext/erpnext/public/js/setup_wizard.js +321,Your Customers,Ihre Kunden
apps/erpnext/erpnext/public/js/setup_wizard.js +108,You will use it to Login,"Sie brauchen das, um sich anzumelden."
apps/erpnext/erpnext/public/js/setup_wizard.js +155,Financial Year End Date,Enddatum des Geschäftsjahres
apps/erpnext/erpnext/public/js/setup_wizard.js +143,"e.g. ""MC""","z. B. ""MC"""
apps/erpnext/erpnext/public/js/setup_wizard.js +154,Your financial year begins on,Ihr Geschäftsjahr beginnt am
apps/erpnext/erpnext/public/js/setup_wizard.js +257,Keep it web friendly 900px (w) by 100px (h),Webfreundlich halten: 900px (breit) zu 100px (hoch)
apps/erpnext/erpnext/public/js/setup_wizard.js +101,The First User: You,Der erste Benutzer: Sie selbst!
apps/erpnext/erpnext/public/js/setup_wizard.js +141,"e.g. ""My Company LLC""","z. B. ""Meine Firma GmbH"""
apps/erpnext/erpnext/public/js/setup_wizard.js +290,Purchaser,Käufer
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js +589,Mark as Delivered,Als geliefert kennzeichnen
DocType: Dependent Task,Dependent Task,Abhängige Aufgabe
apps/erpnext/erpnext/public/js/pos/pos.js +497,{0} View,{0} anzeigen
DocType: Sales Order Item,Sales Order Date,Datum
DocType: Sales Order Item,Hide Original Price,Originalpreis verbergen
DocType: Sales Invoice Item,Hide Original Price,Originalpreis verbergen
DocType: Delivery Note Item,Hide Original Price,Originalpreis verbergen
apps/erpnext/erpnext/controllers/stock_controller.py +209,{0} {1} is cancelled or stopped,{0} {1} wird abgebrochen oder  gestoppt
apps/erpnext/erpnext/config/website.py +17,"Settings for online shopping cart such as shipping rules, price list etc.","Einstellungen für Online-Warenkorb, wie Versandregeln, Preisliste usw."
DocType: Warranty Claim,Warranty Claim,Garantieantrag
apps/erpnext/erpnext/public/js/pos/pos.js +152,Please select {0} first.,Bitte zuerst {0} auswählen.
apps/erpnext/erpnext/crm/doctype/opportunity/opportunity.py +32,Opportunity From field is mandatory,"Feld ""Verkaufschance von"" ist zwingend erforderlich"
apps/erpnext/erpnext/controllers/item_variant.py +99,Value {0} for Attribute {1} does not exist in the list of valid Item Attribute Values,Wert {0} für Attribut {1} gibt es nicht in der Liste der gültigen Artikel-Attributwerte
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +129,Associate,Mitarbeiterin
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +86,Casual Leave,Urholungsurlaub
DocType: Stock Settings,Allowance Percent,Zugelassener Prozentsatz
DocType: C-Form Invoice Detail,Invoice No,Rechnungs-Nr.
apps/erpnext/erpnext/projects/doctype/time_log/time_log_list.js +25,Time Log Status must be Submitted.,"Status des Zeitprotokolls muss ""übertragen"" sein"
apps/erpnext/erpnext/projects/doctype/time_log/time_log_list.js +21,Time Log is not billable,Zeitprotokoll ist nicht abrechenbar
apps/erpnext/erpnext/controllers/accounts_controller.py +372,"Cannot overbill for Item {0} in row {1} more than {2}. To allow overbilling, please set in Stock Settings","Artikel {0} in Zeile {1} kann nicht mehr überberechnet werden als {2}. Um Überberechnung zu erlauben, bitte entsprechend in den Lagereinstellungen einstellen"
apps/erpnext/erpnext/controllers/accounts_controller.py +520,"Total advance ({0}) against Order {1} cannot be greater than the Grand Total ({2})",Summe der Anzahlungen ({0}) zu Bestellung {1} kann nicht größer sein  als die Gesamtsumme ({2})
DocType: Purchase Order Item,Supplier Part Number,Artikelnummer Lieferant
DocType: Fiscal Year,Companies,Unternehmen
apps/erpnext/erpnext/crm/doctype/lead/lead.js +30,Create Customer,Neuen Kunden erstellen
apps/erpnext/erpnext/config/selling.py +158,Setup incoming server for sales email id. (e.g. sales@example.com),E-Mail-Adresse für den Vertrieb einrichten. (z. B. sales@example.com)
DocType: Task Depends On,Task Depends On,Aufgabe hängt davon ab
DocType: Bank Reconciliation,To Date,Bis-Datum
DocType: Appraisal Goal,Key Responsibility Area,Wichtigster Verantwortungsbereich
,Profit and Loss Statement,Erfolgsrechnung
apps/erpnext/erpnext/config/accounts.py +63,Close Balance Sheet and book Profit or Loss.,Bilanz schliessen und in die Erfolgsrechnung übernehmen
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py +29,Employee {0} was on leave on {1}. Cannot mark attendance.,"Mitarbeiter {0} war am {1} im Urlaub. Er kann nicht auf ""anwesend"" gesetzt werden."
DocType: Production Order Operation,Make Time Log,Zeitprotokoll erstellen
apps/erpnext/erpnext/accounts/report/financial_statements.py +16,Fiscal Year {0} not found.,Geschäftsjahr {0} nicht gefunden.
apps/erpnext/erpnext/hr/doctype/employee/employee.py +214,Birthday Reminder for {0},{0} hat heute Geburtstag
apps/erpnext/erpnext/hr/doctype/employee/employee.py +215,"Today is {0}'s birthday! (S)He's now {1} years old.<br><p>Regards,</p><p>Your Switsol-Team</p>","Heute ist der Geburtstag von {0}. Er/Sie ist jetzt {1} jährig.<br><p>Freundliche Grüsse</p><p>Ihr Team von Switsol</p>"
apps/erpnext/erpnext/setup/utils.py +109,Unable to find exchange rate for {0} to {1},Wechselkurs für {0} zu {1} kann nicht gefunden werden
DocType: Leave Control Panel,Employee Type,Mitarbeitertyp
DocType: Pricing Rule,Purchase Manager,Einkaufsleiter
DocType: Sales Order,% of materials billed against this Sales Order,% der für diesen Kundenauftrag in Rechnung gestellten Materialien
,Is Primary Address,Ist Hauptadresse
DocType: Pricing Rule,Item Code,Artikelnummer
DocType: Sales Order,Data Import Manager,Daten Import Manager
apps/erpnext/erpnext/projects/doctype/time_log_batch/time_log_batch.py +39,Time Log {0} must be 'Submitted',"Zeitprotokoll {0} muss ""übertragen"" sein"
DocType: Period Closing Voucher,"The account head under Liability, in which Profit/Loss will be booked","Bezeichnung des Kontos unter Verbindlichkeiten, in das Gewinn/Verlust verbucht werden"
apps/erpnext/erpnext/accounts/utils.py +346,{0} budget for Account {1} against Cost Center {2} will exceed by {3},{0} Budget für Konto {1} zu Kostenstelle {2} wird um {3} überschritten
apps/erpnext/erpnext/setup/setup_wizard/data/sample_home_page.html +3,Awesome Products,Beeindruckende Produkte
DocType: Packing Slip,The gross weight of the package. Usually net weight + packaging material weight. (for print),Das Bruttogewicht des Pakets. Normalerweise Nettogewicht + Gewicht des Verpackungsmaterials (Für den Ausdruck)
DocType: Payment Reconciliation Payment,Voucher Detail Number,Belegdetail-Nummer
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js +667,From Sales Order,Aus Kundenauftrag
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse.py +63,Warehouse {0}: Company is mandatory,Lager {0}: Firma ist zwingend erforderlich
DocType: Process Payroll,Check if you want to send salary slip in mail to each employee while submitting salary slip,"Aktivieren, wenn Sie die Gehaltsabrechnung per E-Mail an jeden Mitarbeiter senden möchten während Sie sie übertragen."
DocType: Salary Slip Deduction,Salary Slip Deduction,Abzug auf der Gehaltsabrechnung
DocType: SMS Center,Send SMS,SMS senden
DocType: Company,Default Cash Account,Standardkassenkonto
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py +246,"Multiple Price Rule exists with same criteria, please resolve \
			conflict by assigning priority. Price Rules: {0}",Es existieren mehrere Preisregeln mit denselben Kriterien. Bitte diesen Konflikt durch Vergabe von Vorrangregelungen lösen. Preisregeln: {0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js +272,Cannot deduct when category is for 'Valuation' or 'Valuation and Total',"Abzug nicht möglich, wenn Kategorie ""Bewertung"" oder ""Bewertung und Summe"" ist"
apps/erpnext/erpnext/crm/doctype/opportunity/opportunity.js +82,Create Quotation,Angebot erstellen
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js +439,From Product Bundle,Aus Produkt-Bundle
apps/erpnext/erpnext/accounts/page/pos/pos.js +4,Start Point-of-Sale (POS),Point-of-Sale (POS) starten
DocType: Quotation,Quotation Lost Reason,Grund des verlorenen Angebotes
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js +486,Get Items,Artikel aufrufen
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.js +179,Make Excise Invoice,Verbrauchssteuerrechnung erstellen
DocType: Cost Center,Distribution Id,Verteilungs-ID
DocType: Customer,Default Receivable Accounts,Standard-Forderungskonten
DocType: Payment Reconciliation,Maximum Amount,Höchstbetrag
apps/erpnext/erpnext/public/js/queries.js +39,Please specify a,Bitte angeben
DocType: Newsletter,Email Id,E-Mail-ID testen
DocType: Salary Slip Earning,Salary Slip Earning,Verdienst laut Gehaltsabrechnung
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html +40,Upcoming Events,Kommende Veranstaltungen
apps/erpnext/erpnext/stock/doctype/item/item.py +49,Please enter default Unit of Measure,Bitte die Standardmaßeinheit eingeben
apps/erpnext/erpnext/stock/doctype/item/item.py +409,"To set reorder level, item must be a Purchase Item or Manufacturing Item","Um den Meldebestand festzulegen, muss der Artikel ein Einkaufsartikel oder ein Fertigungsartiel sein"
apps/erpnext/erpnext/stock/doctype/item/item.py +412,Please set reorder quantity,Bitte Nachbestellmenge einstellen
apps/erpnext/erpnext/stock/doctype/item/item.py +424,Row {0}: An Reorder entry already exists for this warehouse {1},Zeile {0}: Es gibt bereits eine Nachbestellungsbuchung für dieses Lager {1}
DocType: Warranty Claim,"To assign this issue, use the ""Assign"" button in the sidebar.","Um diesen Fall zuzuweisen, bitte die Schaltfläche ""Zuweisen"" auf der Seitenleiste verwenden."
apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.js +29,Submit this Production Order for further processing.,Diesen Fertigungsauftrag für die weitere Verarbeitung übertragen.
apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.js +71,Update Finished Goods,Fertigwaren aktualisieren
DocType: Salary Structure Earning,Reduce Earning for Leave Without Pay (LWP),Verdienst für unbezahlten Urlaub (LWP) vermindern
DocType: Salary Structure Earning,Salary Structure Earning,Gehaltsstruktur-Verdienst
DocType: GL Entry,Party,Lieferant
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py +128,The total Issue / Transfer quantity {0} in Material Request {1} cannot be greater than requested quantity {2} for Item {3},Die Gesamtmenge {0} des auszugebenden/zu übertragenden Materials in der Materialanfrage {1} kann nicht größer sein als die angefragte Menge {2} für den Artikel {3}
DocType: Sales Partner,Partner's Website,Webseite des Partners
apps/erpnext/erpnext/hr/doctype/job_applicant/job_applicant.js +17,Make Offer Letter,Angebotsschreiben erstellen
apps/erpnext/erpnext/accounts/report/sales_register/sales_register.py +66,Customer Id,Kunden-ID
apps/erpnext/erpnext/projects/doctype/time_log/time_log.py +110,To Time must be greater than From Time,Bis-Zeit muss nach Von-Zeit liegen
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse.py +74,Warehouse {0}: Parent account {1} does not bolong to the company {2},Lager {0}: Übergeordnetes Konto {1} gehört nicht zu Firma {2}
DocType: Delivery Note,% of materials delivered against this Delivery Note,% der mit diesem Lieferschein gelieferten Materialien
apps/erpnext/erpnext/config/stock.py +110,Warehouses.,Lager
apps/erpnext/erpnext/accounts/doctype/payment_tool/payment_tool.js +179,"Against Voucher Type must be one of Purchase Order, Purchase Invoice or Journal Entry","""Gegenbeleg"" muss entweder ein Lieferantenauftrag, eine Eingangsrechnung oder eine Journalbuchung sein"
apps/erpnext/erpnext/controllers/recurring_document.py +133,"Dear Sir, Dear Madame<p>Enclosed you will find your latest invoice, according to our contract.</p><p>Please do not hesitate to contact us for further information.</p><p>Kind Regards,</p><p>{0}</p><p>{1}</p><p>{2}</p>","Sehr geehrte Damen und Herren<p>Im Anhang senden wir Ihnen wie abgemacht die wiederkehrende Rechnung für unsere Arbeiten.</p><p>Wir danken Ihnen für Ihre Kundentreue und stehen für Fragen gern zur Verfügung.</p><p>Freundliche Grüsse</p><p>{0}</p><p>{1}</p><p>{2}</p>"
DocType: Payment Reconciliation,Minimum Amount,Mindestbetrag
DocType: Warehouse,Account for the warehouse (Perpetual Inventory) will be created under this Account.,Konto für das Lager (Permanente Inventur) wird unter diesem Konto erstellt.
apps/erpnext/erpnext/accounts/doctype/accounts_settings/accounts_settings.py +27,Company is missing in warehouses {0},Firma fehlt in Lägern {0}
apps/erpnext/erpnext/manufacturing/doctype/production_planning_tool/production_planning_tool.py +103,Please enter sales order in the above table,Bitte den Kundenauftrag in die obige Tabelle eingeben
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py +46,Please enter Purchase Receipts,Bitte Kaufbelege eingeben
apps/erpnext/erpnext/config/support.py +54,Setup incoming server for support email id. (e.g. support@example.com),E-Mail-Adresse für den Support einrichten. (z. B. support@example.com)
DocType: Notification Control,"When any of the checked transactions are ""Submitted"", an email pop-up automatically opened to send an email to the associated ""Contact"" in that transaction, with the transaction as an attachment. The user may or may not send the email.","Wenn eine der ausgewählten Transaktionen den Status ""übertragen"" erreicht hat, geht automatisch ein E-Mail-Fenster auf, so dass eine E-Mail an die mit dieser Transaktion verknüpften Kontaktdaten gesendet wird, mit der Transaktion als Anhang.  Der Benutzer kann auswählen, ob er diese E-Mail absenden will."
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py +213,Serial No {0} has already been received,Seriennummer {0} bereits erhalten
apps/erpnext/erpnext/support/doctype/maintenance_schedule/maintenance_schedule.py +166,Maintenance Schedule {0} exists against {0},Wartungsplan {0} gegen {0} zu
apps/erpnext/erpnext/config/accounts.py +58,Match non-linked Invoices and Payments.,Nicht verknüpfte Rechnungen und Zahlungen verknüpfen
apps/erpnext/erpnext/templates/pages/cart.html +13,Place Order,Bestellung aufgeben
apps/erpnext/erpnext/crm/doctype/newsletter/newsletter.py +137,Please verify your email id,Bitte E-Mail-ID überprüfen
apps/erpnext/erpnext/crm/doctype/newsletter/newsletter.py +139,Click here to verify,Hier klicken um die Richtigkeit zu bestätigen
apps/erpnext/erpnext/crm/doctype/newsletter/newsletter.py +166,{0} has been successfully added to our Newsletter list.,{0} wurde erfolgreich zu unserer Newsletter-Liste hinzugefügt.
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js +41,Remove item if charges is not applicable to that item,"Artikel entfernen, wenn keine Gebühren angerechtet werden können"
DocType: Purchase Taxes and Charges Template,Purchase Master Manager,Einkaufsstammdaten-Manager
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +230,"Row {0}: Qty not avalable for {4} in warehouse {1} at posting time of the entry ({2} {3})","Zeile {0}: Menge nicht für {4} im Lager {1} zum Zeitpunkt des Eintrags Entsendung ({2} {3})"
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +253,Insufficient Stock,Nicht genügend Artikel an Lager
apps/erpnext/erpnext/support/doctype/maintenance_schedule/maintenance_schedule.py +150,Please select Start Date and End Date for Item {0},Bitte Start -und Enddatum für den Artikel {0} auswählen
